date,node,actual,forecast
2015-01-31,1,348.10576370358467,7.863410949707031
2015-02-28,1,348.10576370358467,18.151582717895508
2015-03-31,1,348.10576370358467,29.256376266479492
2015-04-30,1,348.10576370358467,39.65738773345947
2015-05-31,1,348.10576370358467,52.44298553466797
2015-06-30,1,348.10576370358467,58.41307067871094
2015-07-31,1,348.10576370358467,58.88258492946625
2015-08-31,1,348.10576370358467,60.22979140281677
2015-09-30,1,348.10576370358467,65.02012038230896
2015-10-31,1,348.10576370358467,69.43450713157654
2015-11-30,1,348.10576370358467,71.35739052295685
2015-12-31,1,348.10576370358467,79.01196873188019
2016-01-31,1,348.10576370358467,77.80839800834656
2016-02-29,1,348.10576370358467,80.2689516544342
2016-03-31,1,348.10576370358467,80.02666749060154
2016-04-30,1,348.10576370358467,79.56682039797306
2016-05-31,1,348.10576370358467,79.48258939385414
2016-06-30,1,348.10576370358467,79.86770895123482
2016-07-31,1,348.10576370358467,80.8614322245121
2016-08-31,1,348.10576370358467,82.09140279889107
2016-09-30,1,348.10576370358467,83.6224789917469
2016-10-31,1,348.10576370358467,87.82759955525398
2016-11-30,1,348.10576370358467,88.86766591668129
2016-12-31,1,348.10576370358467,90.20421734452248
2017-01-31,1,348.10576370358467,91.72374573349953
2017-02-28,1,348.10576370358467,93.36341646313667
2017-03-31,1,348.10576370358467,95.11458793282509
2017-04-30,1,348.10576370358467,96.97747030854225
2017-05-31,1,348.10576370358467,98.95798018574715
2017-06-30,1,348.10576370358467,101.04092147946358
2017-07-31,1,348.10576370358467,103.20984342694283
2017-08-31,1,348.10576370358467,105.45195272564888
2017-09-30,1,348.10576370358467,107.76555278897285
2017-10-31,1,348.10576370358467,110.210612565279
2017-11-30,1,348.10576370358467,112.75752261281013
2017-12-31,1,348.10576370358467,115.51658800244331
2018-01-31,1,348.10576370358467,118.52029827237129
2018-02-28,1,348.10576370358467,121.73543336987495
2018-03-31,1,348.10576370358467,125.05324319005013
2018-04-30,1,348.10576370358467,128.44840267300606
2018-05-31,1,348.10576370358467,131.86866238713264
2018-06-30,1,348.10576370358467,135.2836609184742
2018-07-31,1,348.10576370358467,138.6684482395649
2018-08-31,1,348.10576370358467,142.0129213631153
2018-09-30,1,348.10576370358467,145.3103852570057
2018-10-31,1,348.10576370358467,148.55677798390388
2018-11-30,1,348.10576370358467,151.7497003376484
2018-12-31,1,348.10576370358467,154.89030531048775
2019-01-31,1,348.10576370358467,157.97333171963692
2019-02-28,1,348.10576370358467,160.9988684952259
2019-03-31,1,348.10576370358467,163.95442965626717
2019-04-30,1,348.10576370358467,166.8569157421589
2019-05-31,1,348.10576370358467,169.71046045422554
2019-06-30,1,348.10576370358467,172.51528146862984
2019-07-31,1,348.10576370358467,175.27358201146126
2019-08-31,1,348.10576370358467,177.98774555325508
2019-09-30,1,348.10576370358467,180.66216185688972
2019-10-31,1,348.10576370358467,183.29325011372566
2019-11-30,1,348.10576370358467,185.88504460453987
2019-12-31,1,348.10576370358467,188.4459357559681
2020-01-31,1,348.10576370358467,190.98125579953194
2020-02-29,1,348.10576370358467,193.52975705266
2020-03-31,1,348.10576370358467,196.04272654652596
2020-04-30,1,348.10576370358467,198.5296051800251
2020-05-31,1,348.10576370358467,201.0018804371357
2020-06-30,1,348.10576370358467,203.79002884030342
2020-07-31,1,348.10576370358467,206.4119634926319
2020-08-31,1,348.10576370358467,209.00171521306038
2020-09-30,1,348.10576370358467,211.56287053227425
2020-10-31,1,348.10576370358467,214.10106971859932
2020-11-30,1,348.10576370358467,217.22802665829659
2020-12-31,1,348.10576370358467,218.75991490483284
2021-01-31,1,348.10576370358467,220.53876319527626
2021-02-28,1,348.10576370358467,222.48049619793892
2021-03-31,1,348.10576370358467,224.5645799934864
2021-04-30,1,348.10576370358467,226.79852870106697
2021-05-31,1,348.10576370358467,229.18240335583687
2021-06-30,1,348.10576370358467,231.70471170544624
2021-07-31,1,348.10576370358467,234.7117317020893
2021-08-31,1,348.10576370358467,237.05808094143867
2021-09-30,1,348.10576370358467,239.6205294430256
2021-10-31,1,348.10576370358467,242.32512310147285
2021-11-30,1,348.10576370358467,245.16409519314766
2021-12-31,1,348.10576370358467,247.99690249562263
2022-01-31,1,348.10576370358467,250.88288858532906
2022-02-28,1,348.10576370358467,253.79817679524422
2022-03-31,1,348.10576370358467,256.72461155056953
2022-04-30,1,348.10576370358467,259.648707896471
2022-05-31,1,348.10576370358467,262.56722834706306
2022-06-30,1,348.10576370358467,265.68249371647835
2022-07-31,1,348.10576370358467,270.2425599396229
2022-08-31,1,348.10576370358467,270.9973372519016
2022-09-30,1,348.10576370358467,272.4980712234974
2022-10-31,1,348.10576370358467,274.0881442129612
2022-11-30,1,348.10576370358467,275.0546001493931
2022-12-31,1,348.10576370358467,276.675997287035
2023-01-31,1,348.10576370358467,279.0346079170704
2023-02-28,1,348.10576370358467,282.1191511452198
2023-03-31,1,348.10576370358467,285.82873180508614
2023-04-30,1,348.10576370358467,298.4102099239826
2023-05-31,1,348.10576370358467,312.29018715023994
2023-06-30,1,348.10576370358467,315.40571907162666
2023-07-31,1,348.10576370358467,320.0741265118122
2023-08-31,1,348.10576370358467,333.87498596310616
2023-09-30,1,348.10576370358467,335.9960081875324
2023-10-31,1,348.10576370358467,340.762388497591
2023-11-30,1,348.10576370358467,348.10576370358467
